"Species","Continent","Serrated.Smooth","Hairy.Non.hairy","Waxy.Non.waxy","Compound.Simple","Central.Auxiliary","Leaf.Length","Leaf.Width"
"Camellia sinensis","Asia","1","0","1","0","0",110.5,55.8
"Ficus Tikoua var. laevis","Asia","1","0","1","0","0",104.1,49.5
"Aphanopetaum resinosum","Australia","1","0","1","0","0",51.5,25.3
"Banksia montana","Australia","1","0","1","0","0",116.1,30
"Pittosporum multiflorum","Australia","1","0","1","0","0",6.7,4.7
"Dichroa versicolor","Himalayas","1","0","1","0","0",273,120.3
"Hibbertia grossulariifolia","Western Australia","1","0","1","0","0",38,31.2
"Mundulea stenophylla","Africa","0","1","1","0","0",54,4.7
"Correa alba","Australia","0","1","1","0","0",36.9,30.2
"Metrosideros nervulosa","Australia","0","1","1","0","0",35.5,24.9
"Rhododendron ciliatum","Himalayas","0","1","1","0","0",63.65,21.1
"Rhododendron scopulorum","Himalayas","0","1","1","0","0",77.9333333333333,32.5
"Metrosideros tomentosa","New Zealand","0","1","1","0","0",43.1,17.7
"Calothamnus sanguineus","Western Australia","0","1","1","0","0",19,0.8
"Melaleuca quadrifida","Western Australia","0","1","1","0","0",24.8,0.7
"Rhododendron Formosum var formosum","Himalayas","0","0","0","1","0",78.8,20.5
"Olearia Astrolobia","Western Australia","0","0","0","1","0",13,5.9
"Rosa abyssinica","Africa","1","0","0","1","0",36.5,13.7
"Tecomaria capensis","Africa","1","0","0","1","0",28.9,20.9
"Acaena novae-zelandiae","New Zealand","1","0","0","1","0",12.8,5.3
"Dicksonia fibosa","New Zealand","1","0","0","1","0",28.4,7.2
"Mundulea stenophylla","Africa","0","0","1","1","0",42.5,10.4
"Justicia rizzinii","Americas","0","0","1","1","0",32.8,17.8
"Pyrrosia lingua","Asia","0","0","1","1","0",89.3,31.5
"Taxus wallichiana","Asia","0","0","1","1","0",21.2,1.3
"Pandorea pandorana","Australia","0","0","1","1","0",130.9,106.4
"Pomaderris vacciniifolia","Australia","0","0","1","1","0",18.3,9.6
"Senna artemisioides","Australia","0","0","1","1","0",23.5,1
"Rhododendron Formosum var. formosum","Himalayas","0","0","1","1","0",65.5,20.4
"Melicope ternata","New Zealand","0","0","1","1","0",112.2,54.5
"Banksia brownii","Western Australia","0","0","1","1","0",109.3,10.5
"Aristea ensifolia","Africa","0","0","0","0","1",610.8,17.1
"Hypericum aegypticum","Africa","0","0","0","0","1",18.9,7
"Polygonatum oppositifolium","Himalayas","0","0","0","0","1",85.4,39.7
"Salvia purpurea","Americas","1","0","0","0","1",139.6,77.2
"Tradescantia pallida","Americas","0","1","0","0","1",106.5,38.1
"Rubus moluccanus","Asia","1","1","0","0","1",165.4,178.7
"Aristea platycaulis","Africa","0","0","1","0","1",306.8,32
"Clivia miniata","Africa","0","0","1","0","1",428.6,31.3
"Clivia robusta","Africa","0","0","1","0","1",658.8,47.8
"Strelitzia reginae","Africa","0","0","1","0","1",486.7,175.7
"Canna indica","Americas","0","0","1","0","1",497.7,151.85
"Hedychium coccineum","Asia","0","0","1","0","1",456.8,60.7
"Rohdea japonica","Asia","0","0","1","0","1",324.1,56.2
"Trachycarpus manipur","Asia","0","0","1","0","1",576.6,31.1
"Macadamia integrifolia","Australia","0","0","1","0","1",109.7,29.4
"Olearia pannosa","Australia","0","0","1","0","1",80.1,43.1
"Pollia crispata","Australia","0","0","1","0","1",172,39.25
"Hedychium gardnerianum","Himalayas","0","0","1","0","1",372.1,111.5
"Rhododendron formosum","Himalayas","0","0","1","0","1",85,18.2
"Freycinetia banksii","New Zealand","0","0","1","0","1",750,18.5
"Hebe corriganii","New Zealand","0","0","1","0","1",109.7,26.4
"Stylidium adnatum","Western Australia","0","0","1","0","1",13,2.3
"Brassaiopsis","Asia","1","0","1","0","1",402,446.8
"Dichroa versicolor","Himalayas","1","0","1","0","1",280,128
"Olearia astroloba","Western Australia","1","0","1","0","1",12.8,6.6
"Astelia banksii","New Zealand","0","1","1","0","1",1188.5,47.6
"Jubaea chilensis","Americas","0","0","0","1","1",2850.4,1018
"Cyathea medullaris","New Zealand","1","0","0","1","1",1119.8,814.4
"Dicksonia fibrosa","New Zealand","1","0","0","1","1",814.4,712.6
"Afrocarpus falcatus","Africa","0","0","1","1","1",57,5
"Arisaema tortuosum","Asia","0","0","1","1","1",454,39.3
"Elingamita johnsonii","New Zealand","0","0","1","1","1",156.5,80.4
"Dicksonia antarctica","Australia","1","0","1","1","1",296,69.1
"Cyathea medullaris","New Zealand","1","0","1","1","1",289.3,94.6
"Marattia salicina","New Zealand","1","0","1","1","1",440,242.1
